Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit Margin(%),,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-17,17,May,2014,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713,62%,,,,"4. Find the Profit for a customer from ""Victoria, Australia"" who purchased Bike Racks.",,,,,,,,,,,,,,,,,,,,,
2016-05-17,17,May,2016,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,27,March,2014,51,Adults ,Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,524,405,929,56%,,,,State,Profit,Formula,,,,,,,,,,,,,,,,,,,
2016-03-27,27,March,2016,51,Adults ,Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722,56%,,,,Victoria,199,"[@State],$I$1:$S$30,8,FALSE",,,,,,,,,,,,,,,,,,,
2013-08-25,25,August,2013,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,25,August,2015,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,26,December,2013,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713,62%,,,,5. Find the Customer Gender for an order placed in May 2016.,,,,,,,,,,,,,,,,,,,,,
2015-12-26,26,December,2015,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,2,January,2014,48,Adults ,Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,295,180,475,62%,,,,Year,Gender,Column3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2016,Male,,,,,,,,,,,,,,,,,,,,
